PlayerName,Edad,Goles,Asistencias,Tarjetas_Amarilla,Tarjetas_Roja,Goles_90Min,Asistencias_90Min,xG,npxG,xA,xG_90Min,xA_90Min
Maxi Gómez,20,17,4,12,0,0.5,0.12,13.4,13.4,4.7,0.39,0.14
Iago Aspas,29,22,5,9,0,0.68,0.15,16.4,14.2,6.5,0.5,0.2
Rony Lopes,21,15,6,2,0,0.53,0.21,9.8,9.8,5.5,0.35,0.19
Radamel Falcao,31,18,2,1,0,0.76,0.08,12.8,9.7,2,0.54,0.08
Keita Baldé,22,8,5,3,2,0.49,0.31,5.5,5.5,1.8,0.34,0.11
Stevan Jovetic,27,8,0,1,0,0.96,0,6.4,6.4,0.7,0.76,0.08
Sergio León,28,11,1,5,0,0.5,0.05,9.2,8.4,1.7,0.42,0.08
Loren Morón,23,7,0,3,0,0.59,0,3.6,3.6,1.4,0.3,0.12
Antonio Sanabria,21,8,0,0,0,0.84,0,5.1,5.1,0.1,0.54,0.01
Jordan Ayew,25,7,2,2,1,0.22,0.06,6.3,5.5,1.2,0.2,0.04
Nolan Roux,29,15,2,8,0,0.48,0.06,9.6,8.8,1.8,0.3,0.06
Florent Mollet,25,7,1,6,0,0.45,0.06,3.7,3,1.8,0.24,0.12
Steve Mounié,22,7,1,2,0,0.34,0.05,5.3,5.3,0.9,0.26,0.05
Laurent Depoitre,28,6,1,1,0,0.3,0.05,3.8,3.8,0.4,0.19,0.02
Kevin-Prince Boateng,30,6,1,4,0,0.23,0.04,4.4,4.4,0.8,0.17,0.03
Sébastien Haller,23,9,4,2,0,0.35,0.15,7.7,6.1,3.4,0.29,0.13
Ante Rebic,23,6,2,8,0,0.31,0.1,5,5,4.1,0.26,0.21
Luka Jovic,19,8,1,2,0,0.77,0.1,7.6,7.6,1.5,0.74,0.15
Willian José,25,15,4,4,0,0.49,0.13,11.3,8.2,4.6,0.37,0.15
Mikel Oyarzabal,20,12,5,4,0,0.39,0.16,8.3,8.3,3.7,0.27,0.12
Juanmi,24,8,2,3,0,0.48,0.12,5.5,5.5,1.7,0.33,0.11
Edinson Cavani,30,28,5,3,0,0.98,0.17,23.1,19.6,4.8,0.8,0.17
Ángel Di María,29,11,7,1,0,0.47,0.3,11.8,11.8,7.9,0.5,0.34
Kylian Mbappé,18,13,9,2,0,0.56,0.39,14.5,14.5,7.8,0.62,0.33
Neymar,25,19,13,5,2,0.95,0.65,15.4,12.4,11.8,0.78,0.59
Matteo Politano,23,10,4,1,0,0.32,0.13,9.7,8.2,6.4,0.31,0.2
Gonzalo Higuaín,29,16,5,4,0,0.51,0.16,12.9,11.4,3.6,0.41,0.11
Paulo Dybala,23,22,3,0,0,0.84,0.11,12.4,8.8,4.6,0.47,0.17
Rodrigo,26,16,4,4,0,0.54,0.13,13.7,13,3.7,0.46,0.12
Simone Zaza,26,13,2,9,2,0.56,0.09,10.1,10.1,2.1,0.44,0.09
Santi Mina,21,12,2,4,0,0.69,0.12,9.1,8.3,1.9,0.53,0.11
Suso,23,6,6,2,1,0.19,0.19,3.8,3.8,8.2,0.12,0.26
Hakan Çalhanoglu,23,6,6,6,2,0.25,0.25,5.8,5.8,8.1,0.24,0.34
Nikola Kalinic,29,6,3,3,0,0.3,0.15,9.1,9.1,2,0.45,0.1
Patrick Cutrone,19,10,1,3,0,0.6,0.06,8.1,8.1,0.6,0.48,0.03
Antoine Griezmann,26,19,9,7,1,0.68,0.32,12.6,11.1,5.3,0.45,0.19
Ángel Correa,22,8,5,4,2,0.32,0.2,6,6,2.2,0.24,0.09
